subject,space,roi,metric,mean,sd,voxels,mm3
M87100419,STANDARD,JHU_UF_L,FA,0.484700,0.132608,376,376.000000
M87100419,STANDARD,JHU_UF_L,MD,0.000654,0.000085,376,376.000000
M87100419,STANDARD,JHU_UF_L,RD,0.000463,0.000126,376,376.000000
M87100419,STANDARD,JHU_UF_L,AD,0.001036,0.000073,376,376.000000
M87100419,STANDARD,JHU_UF_R,FA,0.426271,0.093976,380,380.000000
M87100419,STANDARD,JHU_UF_R,MD,0.000728,0.000052,380,380.000000
M87100419,STANDARD,JHU_UF_R,RD,0.000544,0.000081,380,380.000000
M87100419,STANDARD,JHU_UF_R,AD,0.001096,0.000081,380,380.000000
M87100419,STANDARD,JHU_CgC_L,FA,0.513103,0.134026,2751,2751.000000
M87100419,STANDARD,JHU_CgC_L,MD,0.000644,0.000052,2751,2751.000000
M87100419,STANDARD,JHU_CgC_L,RD,0.000434,0.000094,2751,2751.000000
M87100419,STANDARD,JHU_CgC_L,AD,0.001064,0.000127,2751,2751.000000
M87100419,STANDARD,JHU_CgC_R,FA,0.467533,0.120238,2342,2342.000000
M87100419,STANDARD,JHU_CgC_R,MD,0.000669,0.000056,2342,2342.000000
M87100419,STANDARD,JHU_CgC_R,RD,0.000476,0.000089,2342,2342.000000
M87100419,STANDARD,JHU_CgC_R,AD,0.001055,0.000120,2342,2342.000000
M87102777,STANDARD,JHU_UF_L,FA,0.429744,0.114774,376,376.000000
M87102777,STANDARD,JHU_UF_L,MD,0.000661,0.000051,376,376.000000
M87102777,STANDARD,JHU_UF_L,RD,0.000493,0.000087,376,376.000000
M87102777,STANDARD,JHU_UF_L,AD,0.000997,0.000065,376,376.000000
M87102777,STANDARD,JHU_UF_R,FA,0.401363,0.087635,380,380.000000
M87102777,STANDARD,JHU_UF_R,MD,0.000684,0.000052,380,380.000000
M87102777,STANDARD,JHU_UF_R,RD,0.000521,0.000070,380,380.000000
M87102777,STANDARD,JHU_UF_R,AD,0.001011,0.000086,380,380.000000
M87102777,STANDARD,JHU_CgC_L,FA,0.519929,0.139256,2751,2751.000000
M87102777,STANDARD,JHU_CgC_L,MD,0.000629,0.000056,2751,2751.000000
M87102777,STANDARD,JHU_CgC_L,RD,0.000422,0.000096,2751,2751.000000
M87102777,STANDARD,JHU_CgC_L,AD,0.001042,0.000132,2751,2751.000000
M87102777,STANDARD,JHU_CgC_R,FA,0.458934,0.127203,2342,2342.000000
M87102777,STANDARD,JHU_CgC_R,MD,0.000647,0.000065,2342,2342.000000
M87102777,STANDARD,JHU_CgC_R,RD,0.000469,0.000100,2342,2342.000000
M87102777,STANDARD,JHU_CgC_R,AD,0.001003,0.000108,2342,2342.000000
M87103423,STANDARD,JHU_UF_L,FA,0.370440,0.067324,376,376.000000
M87103423,STANDARD,JHU_UF_L,MD,0.000682,0.000034,376,376.000000
M87103423,STANDARD,JHU_UF_L,RD,0.000535,0.000051,376,376.000000
M87103423,STANDARD,JHU_UF_L,AD,0.000975,0.000054,376,376.000000
M87103423,STANDARD,JHU_UF_R,FA,0.376016,0.064681,380,380.000000
M87103423,STANDARD,JHU_UF_R,MD,0.000720,0.000030,380,380.000000
M87103423,STANDARD,JHU_UF_R,RD,0.000560,0.000050,380,380.000000
M87103423,STANDARD,JHU_UF_R,AD,0.001039,0.000050,380,380.000000
M87103423,STANDARD,JHU_CgC_L,FA,0.447067,0.123049,2751,2751.000000
M87103423,STANDARD,JHU_CgC_L,MD,0.000660,0.000046,2751,2751.000000
M87103423,STANDARD,JHU_CgC_L,RD,0.000481,0.000081,2751,2751.000000
M87103423,STANDARD,JHU_CgC_L,AD,0.001018,0.000116,2751,2751.000000
M87103423,STANDARD,JHU_CgC_R,FA,0.412224,0.112963,2342,2342.000000
M87103423,STANDARD,JHU_CgC_R,MD,0.000675,0.000047,2342,2342.000000
M87103423,STANDARD,JHU_CgC_R,RD,0.000511,0.000080,2342,2342.000000
M87103423,STANDARD,JHU_CgC_R,AD,0.001003,0.000095,2342,2342.000000
M87104357,STANDARD,JHU_UF_L,FA,0.412525,0.100702,376,376.000000
M87104357,STANDARD,JHU_UF_L,MD,0.000676,0.000040,376,376.000000
M87104357,STANDARD,JHU_UF_L,RD,0.000509,0.000071,376,376.000000
M87104357,STANDARD,JHU_UF_L,AD,0.001010,0.000074,376,376.000000
M87104357,STANDARD,JHU_UF_R,FA,0.415681,0.094341,380,380.000000
M87104357,STANDARD,JHU_UF_R,MD,0.000692,0.000054,380,380.000000
M87104357,STANDARD,JHU_UF_R,RD,0.000521,0.000076,380,380.000000
M87104357,STANDARD,JHU_UF_R,AD,0.001032,0.000076,380,380.000000
M87104357,STANDARD,JHU_CgC_L,FA,0.461195,0.128080,2751,2751.000000
M87104357,STANDARD,JHU_CgC_L,MD,0.000649,0.000052,2751,2751.000000
M87104357,STANDARD,JHU_CgC_L,RD,0.000465,0.000085,2751,2751.000000
M87104357,STANDARD,JHU_CgC_L,AD,0.001016,0.000128,2751,2751.000000
M87104357,STANDARD,JHU_CgC_R,FA,0.430304,0.124231,2342,2342.000000
M87104357,STANDARD,JHU_CgC_R,MD,0.000684,0.000051,2342,2342.000000
M87104357,STANDARD,JHU_CgC_R,RD,0.000506,0.000085,2342,2342.000000
M87104357,STANDARD,JHU_CgC_R,AD,0.001041,0.000127,2342,2342.000000
M87104386,STANDARD,JHU_UF_L,FA,0.451104,0.086163,376,376.000000
M87104386,STANDARD,JHU_UF_L,MD,0.000608,0.000061,376,376.000000
M87104386,STANDARD,JHU_UF_L,RD,0.000448,0.000075,376,376.000000
M87104386,STANDARD,JHU_UF_L,AD,0.000928,0.000070,376,376.000000
M87104386,STANDARD,JHU_UF_R,FA,0.412089,0.067344,380,380.000000
M87104386,STANDARD,JHU_UF_R,MD,0.000686,0.000032,380,380.000000
M87104386,STANDARD,JHU_UF_R,RD,0.000519,0.000049,380,380.000000
M87104386,STANDARD,JHU_UF_R,AD,0.001019,0.000063,380,380.000000
M87104386,STANDARD,JHU_CgC_L,FA,0.480445,0.127611,2751,2751.000000
M87104386,STANDARD,JHU_CgC_L,MD,0.000635,0.000050,2751,2751.000000
M87104386,STANDARD,JHU_CgC_L,RD,0.000447,0.000085,2751,2751.000000
M87104386,STANDARD,JHU_CgC_L,AD,0.001011,0.000124,2751,2751.000000
M87104386,STANDARD,JHU_CgC_R,FA,0.439572,0.119162,2342,2342.000000
M87104386,STANDARD,JHU_CgC_R,MD,0.000656,0.000064,2342,2342.000000
M87104386,STANDARD,JHU_CgC_R,RD,0.000485,0.000093,2342,2342.000000
M87104386,STANDARD,JHU_CgC_R,AD,0.000999,0.000110,2342,2342.000000
M87104519,STANDARD,JHU_UF_L,FA,0.435293,0.105719,376,376.000000
M87104519,STANDARD,JHU_UF_L,MD,0.000703,0.000043,376,376.000000
M87104519,STANDARD,JHU_UF_L,RD,0.000518,0.000081,376,376.000000
M87104519,STANDARD,JHU_UF_L,AD,0.001073,0.000073,376,376.000000
M87104519,STANDARD,JHU_UF_R,FA,0.404222,0.088602,380,380.000000
M87104519,STANDARD,JHU_UF_R,MD,0.000744,0.000037,380,380.000000
M87104519,STANDARD,JHU_UF_R,RD,0.000563,0.000066,380,380.000000
M87104519,STANDARD,JHU_UF_R,AD,0.001106,0.000078,380,380.000000
M87104519,STANDARD,JHU_CgC_L,FA,0.438611,0.126198,2751,2751.000000
M87104519,STANDARD,JHU_CgC_L,MD,0.000675,0.000058,2751,2751.000000
M87104519,STANDARD,JHU_CgC_L,RD,0.000498,0.000088,2751,2751.000000
M87104519,STANDARD,JHU_CgC_L,AD,0.001028,0.000141,2751,2751.000000
M87104519,STANDARD,JHU_CgC_R,FA,0.395617,0.121406,2342,2342.000000
M87104519,STANDARD,JHU_CgC_R,MD,0.000710,0.000057,2342,2342.000000
M87104519,STANDARD,JHU_CgC_R,RD,0.000546,0.000092,2342,2342.000000
M87104519,STANDARD,JHU_CgC_R,AD,0.001039,0.000113,2342,2342.000000
M87105294,STANDARD,JHU_UF_L,FA,0.384363,0.089784,376,376.000000
M87105294,STANDARD,JHU_UF_L,MD,0.000717,0.000060,376,376.000000
M87105294,STANDARD,JHU_UF_L,RD,0.000557,0.000084,376,376.000000
M87105294,STANDARD,JHU_UF_L,AD,0.001038,0.000072,376,376.000000
M87105294,STANDARD,JHU_UF_R,FA,0.387462,0.073696,380,380.000000
M87105294,STANDARD,JHU_UF_R,MD,0.000710,0.000041,380,380.000000
M87105294,STANDARD,JHU_UF_R,RD,0.000551,0.000061,380,380.000000
M87105294,STANDARD,JHU_UF_R,AD,0.001029,0.000057,380,380.000000
M87105294,STANDARD,JHU_CgC_L,FA,0.493654,0.122887,2751,2751.000000
M87105294,STANDARD,JHU_CgC_L,MD,0.000662,0.000066,2751,2751.000000
M87105294,STANDARD,JHU_CgC_L,RD,0.000461,0.000098,2751,2751.000000
M87105294,STANDARD,JHU_CgC_L,AD,0.001065,0.000122,2751,2751.000000
M87105294,STANDARD,JHU_CgC_R,FA,0.454589,0.122423,2342,2342.000000
M87105294,STANDARD,JHU_CgC_R,MD,0.000681,0.000071,2342,2342.000000
M87105294,STANDARD,JHU_CgC_R,RD,0.000495,0.000106,2342,2342.000000
M87105294,STANDARD,JHU_CgC_R,AD,0.001053,0.000095,2342,2342.000000
M87105367,STANDARD,JHU_UF_L,FA,0.404419,0.087348,376,376.000000
M87105367,STANDARD,JHU_UF_L,MD,0.000696,0.000035,376,376.000000
M87105367,STANDARD,JHU_UF_L,RD,0.000528,0.000061,376,376.000000
M87105367,STANDARD,JHU_UF_L,AD,0.001032,0.000067,376,376.000000
M87105367,STANDARD,JHU_UF_R,FA,0.409763,0.071272,380,380.000000
M87105367,STANDARD,JHU_UF_R,MD,0.000725,0.000031,380,380.000000
M87105367,STANDARD,JHU_UF_R,RD,0.000546,0.000052,380,380.000000
M87105367,STANDARD,JHU_UF_R,AD,0.001083,0.000061,380,380.000000
M87105367,STANDARD,JHU_CgC_L,FA,0.462873,0.117177,2751,2751.000000
M87105367,STANDARD,JHU_CgC_L,MD,0.000659,0.000065,2751,2751.000000
M87105367,STANDARD,JHU_CgC_L,RD,0.000476,0.000094,2751,2751.000000
M87105367,STANDARD,JHU_CgC_L,AD,0.001027,0.000102,2751,2751.000000
M87105367,STANDARD,JHU_CgC_R,FA,0.419175,0.117466,2342,2342.000000
M87105367,STANDARD,JHU_CgC_R,MD,0.000695,0.000068,2342,2342.000000
M87105367,STANDARD,JHU_CgC_R,RD,0.000524,0.000104,2342,2342.000000
M87105367,STANDARD,JHU_CgC_R,AD,0.001036,0.000094,2342,2342.000000
M87105824,STANDARD,JHU_UF_L,FA,0.402854,0.097466,376,376.000000
M87105824,STANDARD,JHU_UF_L,MD,0.000685,0.000048,376,376.000000
M87105824,STANDARD,JHU_UF_L,RD,0.000523,0.000072,376,376.000000
M87105824,STANDARD,JHU_UF_L,AD,0.001010,0.000083,376,376.000000
M87105824,STANDARD,JHU_UF_R,FA,0.439910,0.118300,380,380.000000
M87105824,STANDARD,JHU_UF_R,MD,0.000707,0.000048,380,380.000000
M87105824,STANDARD,JHU_UF_R,RD,0.000516,0.000083,380,380.000000
M87105824,STANDARD,JHU_UF_R,AD,0.001089,0.000108,380,380.000000
M87105824,STANDARD,JHU_CgC_L,FA,0.486396,0.134314,2751,2751.000000
M87105824,STANDARD,JHU_CgC_L,MD,0.000624,0.000064,2751,2751.000000
M87105824,STANDARD,JHU_CgC_L,RD,0.000438,0.000095,2751,2751.000000
M87105824,STANDARD,JHU_CgC_L,AD,0.000998,0.000125,2751,2751.000000
M87105824,STANDARD,JHU_CgC_R,FA,0.439412,0.136325,2342,2342.000000
M87105824,STANDARD,JHU_CgC_R,MD,0.000659,0.000067,2342,2342.000000
M87105824,STANDARD,JHU_CgC_R,RD,0.000486,0.000106,2342,2342.000000
M87105824,STANDARD,JHU_CgC_R,AD,0.001004,0.000110,2342,2342.000000
M87105955,STANDARD,JHU_UF_L,FA,0.400126,0.104408,376,376.000000
M87105955,STANDARD,JHU_UF_L,MD,0.000697,0.000057,376,376.000000
M87105955,STANDARD,JHU_UF_L,RD,0.000537,0.000088,376,376.000000
M87105955,STANDARD,JHU_UF_L,AD,0.001018,0.000068,376,376.000000
M87105955,STANDARD,JHU_UF_R,FA,0.378326,0.095307,380,380.000000
M87105955,STANDARD,JHU_UF_R,MD,0.000762,0.000046,380,380.000000
M87105955,STANDARD,JHU_UF_R,RD,0.000593,0.000078,380,380.000000
M87105955,STANDARD,JHU_UF_R,AD,0.001101,0.000082,380,380.000000
M87105955,STANDARD,JHU_CgC_L,FA,0.434822,0.111088,2751,2751.000000
M87105955,STANDARD,JHU_CgC_L,MD,0.000690,0.000041,2751,2751.000000
M87105955,STANDARD,JHU_CgC_L,RD,0.000509,0.000072,2751,2751.000000
M87105955,STANDARD,JHU_CgC_L,AD,0.001052,0.000114,2751,2751.000000
M87105955,STANDARD,JHU_CgC_R,FA,0.358274,0.106791,2342,2342.000000
M87105955,STANDARD,JHU_CgC_R,MD,0.000727,0.000047,2342,2342.000000
M87105955,STANDARD,JHU_CgC_R,RD,0.000576,0.000079,2342,2342.000000
M87105955,STANDARD,JHU_CgC_R,AD,0.001028,0.000090,2342,2342.000000
