subject,metric,roi,mean,sd,nvox
M87100419,L1,JHU_CgC_L,0.001209,0.000217,2228
M87100419,MD,JHU_CgC_L,0.000768,0.000147,2228
M87100419,RD,JHU_CgC_L,0.000548,0.000141,2228
M87100419,L1,JHU_CgC_R,0.001151,0.000242,2231
M87100419,MD,JHU_CgC_R,0.000750,0.000201,2231
M87100419,RD,JHU_CgC_R,0.000550,0.000196,2231
M87100419,L1,JHU_UF_R,0.001061,0.000099,2469
M87100419,MD,JHU_UF_R,0.000624,0.000049,2469
M87100419,RD,JHU_UF_R,0.000406,0.000077,2469
M87100419,L1,JHU_UF_L,0.001081,0.000115,2515
M87100419,MD,JHU_UF_L,0.000663,0.000060,2515
M87100419,RD,JHU_UF_L,0.000454,0.000060,2515
M87102777,L1,JHU_CgC_L,0.001097,0.000167,2228
M87102777,MD,JHU_CgC_L,0.000705,0.000123,2228
M87102777,RD,JHU_CgC_L,0.000509,0.000127,2228
M87102777,L1,JHU_CgC_R,0.001146,0.000258,2231
M87102777,MD,JHU_CgC_R,0.000750,0.000213,2231
M87102777,RD,JHU_CgC_R,0.000552,0.000211,2231
M87102777,L1,JHU_UF_R,0.000980,0.000109,2469
M87102777,MD,JHU_UF_R,0.000597,0.000078,2469
M87102777,RD,JHU_UF_R,0.000406,0.000083,2469
M87102777,L1,JHU_UF_L,0.001026,0.000111,2515
M87102777,MD,JHU_UF_L,0.000641,0.000059,2515
M87102777,RD,JHU_UF_L,0.000448,0.000059,2515
M87103423,L1,JHU_CgC_L,0.001174,0.000165,2228
M87103423,MD,JHU_CgC_L,0.000790,0.000118,2228
M87103423,RD,JHU_CgC_L,0.000598,0.000122,2228
M87103423,L1,JHU_CgC_R,0.001170,0.000179,2231
M87103423,MD,JHU_CgC_R,0.000790,0.000162,2231
M87103423,RD,JHU_CgC_R,0.000600,0.000179,2231
M87103423,L1,JHU_UF_R,0.001009,0.000118,2469
M87103423,MD,JHU_UF_R,0.000609,0.000080,2469
M87103423,RD,JHU_UF_R,0.000409,0.000088,2469
M87103423,L1,JHU_UF_L,0.001029,0.000106,2515
M87103423,MD,JHU_UF_L,0.000665,0.000060,2515
M87103423,RD,JHU_UF_L,0.000483,0.000056,2515
M87104357,L1,JHU_CgC_L,0.001163,0.000185,2228
M87104357,MD,JHU_CgC_L,0.000771,0.000137,2228
M87104357,RD,JHU_CgC_L,0.000575,0.000134,2228
M87104357,L1,JHU_CgC_R,0.001201,0.000270,2231
M87104357,MD,JHU_CgC_R,0.000822,0.000243,2231
M87104357,RD,JHU_CgC_R,0.000633,0.000246,2231
M87104357,L1,JHU_UF_R,0.001057,0.000140,2469
M87104357,MD,JHU_UF_R,0.000646,0.000091,2469
M87104357,RD,JHU_UF_R,0.000441,0.000100,2469
M87104357,L1,JHU_UF_L,0.001079,0.000111,2515
M87104357,MD,JHU_UF_L,0.000681,0.000062,2515
M87104357,RD,JHU_UF_L,0.000482,0.000073,2515
M87104386,L1,JHU_CgC_L,0.001197,0.000106,2228
M87104386,MD,JHU_CgC_L,0.000750,0.000073,2228
M87104386,RD,JHU_CgC_L,0.000526,0.000089,2228
M87104386,L1,JHU_CgC_R,0.001112,0.000147,2231
M87104386,MD,JHU_CgC_R,0.000727,0.000122,2231
M87104386,RD,JHU_CgC_R,0.000534,0.000140,2231
M87104386,L1,JHU_UF_R,0.001055,0.000098,2469
M87104386,MD,JHU_UF_R,0.000604,0.000064,2469
M87104386,RD,JHU_UF_R,0.000379,0.000083,2469
M87104386,L1,JHU_UF_L,0.001137,0.000101,2515
M87104386,MD,JHU_UF_L,0.000675,0.000046,2515
M87104386,RD,JHU_UF_L,0.000444,0.000057,2515
M87104519,L1,JHU_CgC_L,0.001123,0.000085,2228
M87104519,MD,JHU_CgC_L,0.000750,0.000072,2228
M87104519,RD,JHU_CgC_L,0.000563,0.000093,2228
M87104519,L1,JHU_CgC_R,0.001191,0.000214,2231
M87104519,MD,JHU_CgC_R,0.000808,0.000209,2231
M87104519,RD,JHU_CgC_R,0.000616,0.000217,2231
M87104519,L1,JHU_UF_R,0.001068,0.000106,2469
M87104519,MD,JHU_UF_R,0.000641,0.000052,2469
M87104519,RD,JHU_UF_R,0.000427,0.000066,2469
M87104519,L1,JHU_UF_L,0.001089,0.000100,2515
M87104519,MD,JHU_UF_L,0.000665,0.000046,2515
M87104519,RD,JHU_UF_L,0.000453,0.000057,2515
M87105294,L1,JHU_CgC_L,0.001197,0.000148,2228
M87105294,MD,JHU_CgC_L,0.000784,0.000121,2228
M87105294,RD,JHU_CgC_L,0.000577,0.000128,2228
M87105294,L1,JHU_CgC_R,0.001151,0.000183,2231
M87105294,MD,JHU_CgC_R,0.000775,0.000152,2231
M87105294,RD,JHU_CgC_R,0.000587,0.000158,2231
M87105294,L1,JHU_UF_R,0.001097,0.000115,2469
M87105294,MD,JHU_UF_R,0.000655,0.000078,2469
M87105294,RD,JHU_UF_R,0.000434,0.000092,2469
M87105294,L1,JHU_UF_L,0.001096,0.000125,2515
M87105294,MD,JHU_UF_L,0.000661,0.000085,2515
M87105294,RD,JHU_UF_L,0.000444,0.000091,2515
M87105367,L1,JHU_CgC_L,0.001228,0.000170,2228
M87105367,MD,JHU_CgC_L,0.000777,0.000141,2228
M87105367,RD,JHU_CgC_L,0.000552,0.000153,2228
M87105367,L1,JHU_CgC_R,0.001028,0.000160,2231
M87105367,MD,JHU_CgC_R,0.000692,0.000138,2231
M87105367,RD,JHU_CgC_R,0.000524,0.000143,2231
M87105367,L1,JHU_UF_R,0.000980,0.000094,2469
M87105367,MD,JHU_UF_R,0.000590,0.000050,2469
M87105367,RD,JHU_UF_R,0.000396,0.000064,2469
M87105367,L1,JHU_UF_L,0.001054,0.000107,2515
M87105367,MD,JHU_UF_L,0.000663,0.000049,2515
M87105367,RD,JHU_UF_L,0.000467,0.000051,2515
M87105824,L1,JHU_CgC_L,0.001188,0.000164,2228
M87105824,MD,JHU_CgC_L,0.000769,0.000136,2228
M87105824,RD,JHU_CgC_L,0.000559,0.000146,2228
M87105824,L1,JHU_CgC_R,0.001169,0.000245,2231
M87105824,MD,JHU_CgC_R,0.000790,0.000231,2231
M87105824,RD,JHU_CgC_R,0.000600,0.000237,2231
M87105824,L1,JHU_UF_R,0.001031,0.000130,2469
M87105824,MD,JHU_UF_R,0.000619,0.000113,2469
M87105824,RD,JHU_UF_R,0.000413,0.000122,2469
M87105824,L1,JHU_UF_L,0.001104,0.000122,2515
M87105824,MD,JHU_UF_L,0.000673,0.000086,2515
M87105824,RD,JHU_UF_L,0.000457,0.000098,2515
M87105955,L1,JHU_CgC_L,0.001302,0.000195,2228
M87105955,MD,JHU_CgC_L,0.000886,0.000157,2228
M87105955,RD,JHU_CgC_L,0.000678,0.000158,2228
M87105955,L1,JHU_CgC_R,0.001278,0.000218,2231
M87105955,MD,JHU_CgC_R,0.000884,0.000177,2231
M87105955,RD,JHU_CgC_R,0.000687,0.000182,2231
M87105955,L1,JHU_UF_R,0.001252,0.000271,2469
M87105955,MD,JHU_UF_R,0.000769,0.000260,2469
M87105955,RD,JHU_UF_R,0.000527,0.000275,2469
M87105955,L1,JHU_UF_L,0.001191,0.000187,2515
M87105955,MD,JHU_UF_L,0.000756,0.000157,2515
M87105955,RD,JHU_UF_L,0.000539,0.000161,2515
M87108106,L1,JHU_CgC_L,0.001170,0.000170,2228
M87108106,MD,JHU_CgC_L,0.000773,0.000125,2228
M87108106,RD,JHU_CgC_L,0.000575,0.000126,2228
M87108106,L1,JHU_CgC_R,0.001106,0.000122,2231
M87108106,MD,JHU_CgC_R,0.000748,0.000112,2231
M87108106,RD,JHU_CgC_R,0.000570,0.000126,2231
M87108106,L1,JHU_UF_R,0.001096,0.000105,2469
M87108106,MD,JHU_UF_R,0.000655,0.000076,2469
M87108106,RD,JHU_UF_R,0.000435,0.000095,2469
M87108106,L1,JHU_UF_L,0.001113,0.000097,2515
M87108106,MD,JHU_UF_L,0.000686,0.000066,2515
M87108106,RD,JHU_UF_L,0.000473,0.000080,2515
M87109162,L1,JHU_CgC_L,0.001164,0.000151,2228
M87109162,MD,JHU_CgC_L,0.000736,0.000122,2228
M87109162,RD,JHU_CgC_L,0.000522,0.000131,2228
M87109162,L1,JHU_CgC_R,0.001189,0.000222,2231
M87109162,MD,JHU_CgC_R,0.000772,0.000181,2231
M87109162,RD,JHU_CgC_R,0.000563,0.000189,2231
M87109162,L1,JHU_UF_R,0.001090,0.000120,2469
M87109162,MD,JHU_UF_R,0.000624,0.000067,2469
M87109162,RD,JHU_UF_R,0.000391,0.000081,2469
M87109162,L1,JHU_UF_L,0.001102,0.000107,2515
M87109162,MD,JHU_UF_L,0.000662,0.000053,2515
M87109162,RD,JHU_UF_L,0.000442,0.000057,2515
M87109276,L1,JHU_CgC_L,0.001159,0.000167,2228
M87109276,MD,JHU_CgC_L,0.000745,0.000151,2228
M87109276,RD,JHU_CgC_L,0.000539,0.000162,2228
M87109276,L1,JHU_CgC_R,0.001116,0.000170,2231
M87109276,MD,JHU_CgC_R,0.000749,0.000171,2231
M87109276,RD,JHU_CgC_R,0.000565,0.000191,2231
M87109276,L1,JHU_UF_R,0.001069,0.000118,2469
M87109276,MD,JHU_UF_R,0.000641,0.000103,2469
M87109276,RD,JHU_UF_R,0.000427,0.000120,2469
M87109276,L1,JHU_UF_L,0.001067,0.000125,2515
M87109276,MD,JHU_UF_L,0.000653,0.000085,2515
M87109276,RD,JHU_UF_L,0.000446,0.000092,2515
M87109978,L1,JHU_CgC_L,0.001201,0.000167,2228
M87109978,MD,JHU_CgC_L,0.000739,0.000104,2228
M87109978,RD,JHU_CgC_L,0.000508,0.000116,2228
M87109978,L1,JHU_CgC_R,0.001170,0.000230,2231
M87109978,MD,JHU_CgC_R,0.000757,0.000190,2231
M87109978,RD,JHU_CgC_R,0.000550,0.000196,2231
M87109978,L1,JHU_UF_R,0.001037,0.000112,2469
M87109978,MD,JHU_UF_R,0.000616,0.000059,2469
M87109978,RD,JHU_UF_R,0.000406,0.000073,2469
M87109978,L1,JHU_UF_L,0.001067,0.000103,2515
M87109978,MD,JHU_UF_L,0.000659,0.000046,2515
M87109978,RD,JHU_UF_L,0.000455,0.000051,2515
M87110730,L1,JHU_CgC_L,0.001145,0.000138,2228
M87110730,MD,JHU_CgC_L,0.000779,0.000098,2228
M87110730,RD,JHU_CgC_L,0.000596,0.000101,2228
M87110730,L1,JHU_CgC_R,0.001184,0.000212,2231
M87110730,MD,JHU_CgC_R,0.000806,0.000197,2231
M87110730,RD,JHU_CgC_R,0.000617,0.000204,2231
M87110730,L1,JHU_UF_R,0.001015,0.000114,2469
M87110730,MD,JHU_UF_R,0.000614,0.000081,2469
M87110730,RD,JHU_UF_R,0.000414,0.000083,2469
M87110730,L1,JHU_UF_L,0.001038,0.000107,2515
M87110730,MD,JHU_UF_L,0.000661,0.000085,2515
M87110730,RD,JHU_UF_L,0.000473,0.000089,2515
M87110768,L1,JHU_CgC_L,0.001233,0.000166,2228
M87110768,MD,JHU_CgC_L,0.000839,0.000121,2228
M87110768,RD,JHU_CgC_L,0.000641,0.000126,2228
M87110768,L1,JHU_CgC_R,0.001239,0.000264,2231
M87110768,MD,JHU_CgC_R,0.000855,0.000227,2231
M87110768,RD,JHU_CgC_R,0.000664,0.000224,2231
M87110768,L1,JHU_UF_R,0.001027,0.000137,2469
M87110768,MD,JHU_UF_R,0.000654,0.000110,2469
M87110768,RD,JHU_UF_R,0.000467,0.000118,2469
M87110768,L1,JHU_UF_L,0.001105,0.000114,2515
M87110768,MD,JHU_UF_L,0.000713,0.000094,2515
M87110768,RD,JHU_UF_L,0.000517,0.000102,2515
M87111014,L1,JHU_CgC_L,0.001155,0.000164,2228
M87111014,MD,JHU_CgC_L,0.000743,0.000141,2228
M87111014,RD,JHU_CgC_L,0.000537,0.000146,2228
M87111014,L1,JHU_CgC_R,0.001167,0.000213,2231
M87111014,MD,JHU_CgC_R,0.000770,0.000199,2231
M87111014,RD,JHU_CgC_R,0.000571,0.000206,2231
M87111014,L1,JHU_UF_R,0.001027,0.000105,2469
M87111014,MD,JHU_UF_R,0.000614,0.000073,2469
M87111014,RD,JHU_UF_R,0.000408,0.000083,2469
M87111014,L1,JHU_UF_L,0.001032,0.000093,2515
M87111014,MD,JHU_UF_L,0.000643,0.000059,2515
M87111014,RD,JHU_UF_L,0.000448,0.000065,2515
M87112091,L1,JHU_CgC_L,0.001209,0.000165,2228
M87112091,MD,JHU_CgC_L,0.000787,0.000125,2228
M87112091,RD,JHU_CgC_L,0.000576,0.000128,2228
M87112091,L1,JHU_CgC_R,0.001201,0.000175,2231
M87112091,MD,JHU_CgC_R,0.000806,0.000160,2231
M87112091,RD,JHU_CgC_R,0.000609,0.000170,2231
M87112091,L1,JHU_UF_R,0.001067,0.000106,2469
M87112091,MD,JHU_UF_R,0.000648,0.000049,2469
M87112091,RD,JHU_UF_R,0.000439,0.000064,2469
M87112091,L1,JHU_UF_L,0.001102,0.000109,2515
M87112091,MD,JHU_UF_L,0.000686,0.000051,2515
M87112091,RD,JHU_UF_L,0.000478,0.000059,2515
M87113923,L1,JHU_CgC_L,0.001220,0.000121,2228
M87113923,MD,JHU_CgC_L,0.000819,0.000100,2228
M87113923,RD,JHU_CgC_L,0.000618,0.000114,2228
M87113923,L1,JHU_CgC_R,0.001163,0.000148,2231
M87113923,MD,JHU_CgC_R,0.000796,0.000119,2231
M87113923,RD,JHU_CgC_R,0.000612,0.000133,2231
M87113923,L1,JHU_UF_R,0.001086,0.000087,2469
M87113923,MD,JHU_UF_R,0.000663,0.000048,2469
M87113923,RD,JHU_UF_R,0.000451,0.000068,2469
M87113923,L1,JHU_UF_L,0.001153,0.000094,2515
M87113923,MD,JHU_UF_L,0.000721,0.000054,2515
M87113923,RD,JHU_UF_L,0.000506,0.000060,2515
M87114371,L1,JHU_CgC_L,0.001133,0.000160,2228
M87114371,MD,JHU_CgC_L,0.000749,0.000121,2228
M87114371,RD,JHU_CgC_L,0.000557,0.000123,2228
M87114371,L1,JHU_CgC_R,0.001117,0.000193,2231
M87114371,MD,JHU_CgC_R,0.000750,0.000147,2231
M87114371,RD,JHU_CgC_R,0.000567,0.000145,2231
M87114371,L1,JHU_UF_R,0.001017,0.000108,2469
M87114371,MD,JHU_UF_R,0.000622,0.000085,2469
M87114371,RD,JHU_UF_R,0.000424,0.000096,2469
M87114371,L1,JHU_UF_L,0.001052,0.000108,2515
M87114371,MD,JHU_UF_L,0.000655,0.000075,2515
M87114371,RD,JHU_UF_L,0.000457,0.000081,2515
M87116854,L1,JHU_CgC_L,0.001217,0.000170,2228
M87116854,MD,JHU_CgC_L,0.000745,0.000126,2228
M87116854,RD,JHU_CgC_L,0.000509,0.000136,2228
M87116854,L1,JHU_CgC_R,0.001117,0.000149,2231
M87116854,MD,JHU_CgC_R,0.000720,0.000114,2231
M87116854,RD,JHU_CgC_R,0.000521,0.000132,2231
M87116854,L1,JHU_UF_R,0.001000,0.000104,2469
M87116854,MD,JHU_UF_R,0.000589,0.000051,2469
M87116854,RD,JHU_UF_R,0.000383,0.000062,2469
M87116854,L1,JHU_UF_L,0.001065,0.000119,2515
M87116854,MD,JHU_UF_L,0.000642,0.000050,2515
M87116854,RD,JHU_UF_L,0.000431,0.000051,2515
M87117081,L1,JHU_CgC_L,0.001120,0.000184,2228
M87117081,MD,JHU_CgC_L,0.000746,0.000150,2228
M87117081,RD,JHU_CgC_L,0.000560,0.000155,2228
M87117081,L1,JHU_CgC_R,0.001172,0.000223,2231
M87117081,MD,JHU_CgC_R,0.000798,0.000194,2231
M87117081,RD,JHU_CgC_R,0.000611,0.000201,2231
M87117081,L1,JHU_UF_R,0.001056,0.000128,2469
M87117081,MD,JHU_UF_R,0.000625,0.000095,2469
M87117081,RD,JHU_UF_R,0.000410,0.000105,2469
M87117081,L1,JHU_UF_L,0.001054,0.000119,2515
M87117081,MD,JHU_UF_L,0.000644,0.000087,2515
M87117081,RD,JHU_UF_L,0.000438,0.000091,2515
M87118092,L1,JHU_CgC_L,0.001235,0.000193,2228
M87118092,MD,JHU_CgC_L,0.000796,0.000157,2228
M87118092,RD,JHU_CgC_L,0.000577,0.000160,2228
M87118092,L1,JHU_CgC_R,0.001182,0.000204,2231
M87118092,MD,JHU_CgC_R,0.000799,0.000185,2231
M87118092,RD,JHU_CgC_R,0.000607,0.000191,2231
M87118092,L1,JHU_UF_R,0.001050,0.000122,2469
M87118092,MD,JHU_UF_R,0.000633,0.000088,2469
M87118092,RD,JHU_UF_R,0.000425,0.000098,2469
M87118092,L1,JHU_UF_L,0.001102,0.000125,2515
M87118092,MD,JHU_UF_L,0.000680,0.000097,2515
M87118092,RD,JHU_UF_L,0.000468,0.000104,2515
M87120007,L1,JHU_CgC_L,0.001231,0.000243,2228
M87120007,MD,JHU_CgC_L,0.000797,0.000204,2228
M87120007,RD,JHU_CgC_L,0.000581,0.000201,2228
M87120007,L1,JHU_CgC_R,0.001060,0.000190,2231
M87120007,MD,JHU_CgC_R,0.000707,0.000157,2231
M87120007,RD,JHU_CgC_R,0.000531,0.000163,2231
M87120007,L1,JHU_UF_R,0.001034,0.000151,2469
M87120007,MD,JHU_UF_R,0.000616,0.000125,2469
M87120007,RD,JHU_UF_R,0.000407,0.000134,2469
M87120007,L1,JHU_UF_L,0.001076,0.000198,2515
M87120007,MD,JHU_UF_L,0.000664,0.000172,2515
M87120007,RD,JHU_UF_L,0.000458,0.000174,2515
M87120164,L1,JHU_CgC_L,0.001199,0.000159,2228
M87120164,MD,JHU_CgC_L,0.000759,0.000128,2228
M87120164,RD,JHU_CgC_L,0.000539,0.000136,2228
M87120164,L1,JHU_CgC_R,0.001182,0.000221,2231
M87120164,MD,JHU_CgC_R,0.000768,0.000198,2231
M87120164,RD,JHU_CgC_R,0.000560,0.000205,2231
M87120164,L1,JHU_UF_R,0.001024,0.000114,2469
M87120164,MD,JHU_UF_R,0.000604,0.000065,2469
M87120164,RD,JHU_UF_R,0.000395,0.000075,2469
M87120164,L1,JHU_UF_L,0.001065,0.000111,2515
M87120164,MD,JHU_UF_L,0.000656,0.000066,2515
M87120164,RD,JHU_UF_L,0.000452,0.000074,2515
M87120206,L1,JHU_CgC_L,0.001148,0.000160,2228
M87120206,MD,JHU_CgC_L,0.000754,0.000131,2228
M87120206,RD,JHU_CgC_L,0.000557,0.000138,2228
M87120206,L1,JHU_CgC_R,0.001087,0.000140,2231
M87120206,MD,JHU_CgC_R,0.000737,0.000102,2231
M87120206,RD,JHU_CgC_R,0.000562,0.000120,2231
M87120206,L1,JHU_UF_R,0.001042,0.000139,2469
M87120206,MD,JHU_UF_R,0.000635,0.000117,2469
M87120206,RD,JHU_UF_R,0.000431,0.000129,2469
M87120206,L1,JHU_UF_L,0.001056,0.000101,2515
M87120206,MD,JHU_UF_L,0.000655,0.000084,2515
M87120206,RD,JHU_UF_L,0.000455,0.000096,2515
M87120451,L1,JHU_CgC_L,0.001182,0.000156,2228
M87120451,MD,JHU_CgC_L,0.000790,0.000118,2228
M87120451,RD,JHU_CgC_L,0.000595,0.000118,2228
M87120451,L1,JHU_CgC_R,0.001137,0.000170,2231
M87120451,MD,JHU_CgC_R,0.000764,0.000149,2231
M87120451,RD,JHU_CgC_R,0.000578,0.000158,2231
M87120451,L1,JHU_UF_R,0.001079,0.000131,2469
M87120451,MD,JHU_UF_R,0.000655,0.000108,2469
M87120451,RD,JHU_UF_R,0.000443,0.000122,2469
M87120451,L1,JHU_UF_L,0.001065,0.000122,2515
M87120451,MD,JHU_UF_L,0.000681,0.000094,2515
M87120451,RD,JHU_UF_L,0.000488,0.000100,2515
M87121531,L1,JHU_CgC_L,0.001143,0.000199,2228
M87121531,MD,JHU_CgC_L,0.000770,0.000176,2228
M87121531,RD,JHU_CgC_L,0.000583,0.000175,2228
M87121531,L1,JHU_CgC_R,0.001072,0.000197,2231
M87121531,MD,JHU_CgC_R,0.000744,0.000203,2231
M87121531,RD,JHU_CgC_R,0.000580,0.000213,2231
M87121531,L1,JHU_UF_R,0.000973,0.000121,2469
M87121531,MD,JHU_UF_R,0.000579,0.000097,2469
M87121531,RD,JHU_UF_R,0.000382,0.000110,2469
M87121531,L1,JHU_UF_L,0.001033,0.000144,2515
M87121531,MD,JHU_UF_L,0.000638,0.000124,2515
M87121531,RD,JHU_UF_L,0.000441,0.000129,2515
M87122630,L1,JHU_CgC_L,0.001172,0.000150,2228
M87122630,MD,JHU_CgC_L,0.000802,0.000126,2228
M87122630,RD,JHU_CgC_L,0.000617,0.000126,2228
M87122630,L1,JHU_CgC_R,0.001142,0.000174,2231
M87122630,MD,JHU_CgC_R,0.000789,0.000150,2231
M87122630,RD,JHU_CgC_R,0.000612,0.000153,2231
M87122630,L1,JHU_UF_R,0.001060,0.000148,2469
M87122630,MD,JHU_UF_R,0.000657,0.000113,2469
M87122630,RD,JHU_UF_R,0.000456,0.000118,2469
M87122630,L1,JHU_UF_L,0.001066,0.000106,2515
M87122630,MD,JHU_UF_L,0.000689,0.000082,2515
M87122630,RD,JHU_UF_L,0.000501,0.000086,2515
M87122856,L1,JHU_CgC_L,0.001240,0.000251,2228
M87122856,MD,JHU_CgC_L,0.000797,0.000187,2228
M87122856,RD,JHU_CgC_L,0.000576,0.000171,2228
M87122856,L1,JHU_CgC_R,0.001204,0.000265,2231
M87122856,MD,JHU_CgC_R,0.000793,0.000199,2231
M87122856,RD,JHU_CgC_R,0.000587,0.000184,2231
M87122856,L1,JHU_UF_R,0.001060,0.000123,2469
M87122856,MD,JHU_UF_R,0.000632,0.000079,2469
M87122856,RD,JHU_UF_R,0.000419,0.000094,2469
M87122856,L1,JHU_UF_L,0.001113,0.000116,2515
M87122856,MD,JHU_UF_L,0.000693,0.000076,2515
M87122856,RD,JHU_UF_L,0.000483,0.000086,2515
M87124454,L1,JHU_CgC_L,0.001223,0.000130,2228
M87124454,MD,JHU_CgC_L,0.000779,0.000111,2228
M87124454,RD,JHU_CgC_L,0.000558,0.000125,2228
M87124454,L1,JHU_CgC_R,0.001173,0.000206,2231
M87124454,MD,JHU_CgC_R,0.000780,0.000175,2231
M87124454,RD,JHU_CgC_R,0.000583,0.000174,2231
M87124454,L1,JHU_UF_R,0.001063,0.000122,2469
M87124454,MD,JHU_UF_R,0.000616,0.000066,2469
M87124454,RD,JHU_UF_R,0.000393,0.000074,2469
M87124454,L1,JHU_UF_L,0.001105,0.000104,2515
M87124454,MD,JHU_UF_L,0.000668,0.000071,2515
M87124454,RD,JHU_UF_L,0.000449,0.000077,2515
M87124808,L1,JHU_CgC_L,0.001232,0.000167,2228
M87124808,MD,JHU_CgC_L,0.000806,0.000144,2228
M87124808,RD,JHU_CgC_L,0.000593,0.000156,2228
M87124808,L1,JHU_CgC_R,0.001205,0.000205,2231
M87124808,MD,JHU_CgC_R,0.000807,0.000174,2231
M87124808,RD,JHU_CgC_R,0.000609,0.000179,2231
M87124808,L1,JHU_UF_R,0.001032,0.000146,2469
M87124808,MD,JHU_UF_R,0.000622,0.000109,2469
M87124808,RD,JHU_UF_R,0.000417,0.000126,2469
M87124808,L1,JHU_UF_L,0.001148,0.000119,2515
M87124808,MD,JHU_UF_L,0.000695,0.000093,2515
